"","ligand","receptor","pair","ligand_gene_id","receptor_gene_id"
"1767","Tdgf1","Acvr1b","TDGF1_ACVR1B","ENSMUSG00000032494","ENSMUSG00000000532"
"1768","Tdgf1","Acvr1c","TDGF1_ACVR1C","ENSMUSG00000032494","ENSMUSG00000026834"
"1769","Tdgf1","Acvr2a","TDGF1_ACVR2A","ENSMUSG00000032494","ENSMUSG00000052155"
"1770","Tdgf1","Acvr2b","TDGF1_ACVR2B","ENSMUSG00000032494","ENSMUSG00000061393"
"1771","Tdgf1","Gpc1","TDGF1_GPC1","ENSMUSG00000032494","ENSMUSG00000034220"
"1772","Tfpi","F3","TFPI_F3","ENSMUSG00000027082","ENSMUSG00000028128"
"1773","Tfpi","Lrp1","TFPI_LRP1","ENSMUSG00000027082","ENSMUSG00000040249"
"1774","Tfpi","Sdc4","TFPI_SDC4","ENSMUSG00000027082","ENSMUSG00000017009"
"1775","Tfpi","Vldlr","TFPI_VLDLR","ENSMUSG00000027082","ENSMUSG00000024924"
"1776","Tg","Asgr1","TG_ASGR1","ENSMUSG00000053469","ENSMUSG00000020884"
"1777","Tg","Lrp2","TG_LRP2","ENSMUSG00000053469","ENSMUSG00000027070"
"1778","Tgfa","Egfr","TGFA_EGFR","ENSMUSG00000029999","ENSMUSG00000020122"
"1779","Tgfa","Erbb2","TGFA_ERBB2","ENSMUSG00000029999","ENSMUSG00000062312"
"1780","Tgfa","Erbb3","TGFA_ERBB3","ENSMUSG00000029999","ENSMUSG00000018166"
"1781","Tgfa","Erbb4","TGFA_ERBB4","ENSMUSG00000029999","ENSMUSG00000062209"
"1782","Tgfb1","Acvrl1","TGFB1_ACVRL1","ENSMUSG00000002603","ENSMUSG00000000530"
"1783","Tgfb1","Cav1","TGFB1_CAV1","ENSMUSG00000002603","ENSMUSG00000007655"
"1784","Tgfb1","Cd109","TGFB1_CD109","ENSMUSG00000002603","ENSMUSG00000046186"
"1785","Tgfb1","Cxcr4","TGFB1_CXCR4","ENSMUSG00000002603","ENSMUSG00000045382"
"1786","Tgfb1","Eng","TGFB1_ENG","ENSMUSG00000002603","ENSMUSG00000026814"
"1787","Tgfb1","Itgav","TGFB1_ITGAV","ENSMUSG00000002603","ENSMUSG00000027087"
"1788","Tgfb1","Itgb6","TGFB1_ITGB6","ENSMUSG00000002603","ENSMUSG00000026971"
"1789","Tgfb1","Itgb8","TGFB1_ITGB8","ENSMUSG00000002603","ENSMUSG00000025321"
"1790","Tgfb1","Sdc2","TGFB1_SDC2","ENSMUSG00000002603","ENSMUSG00000022261"
"1791","Tgfb1","Tgfbr1","TGFB1_TGFBR1","ENSMUSG00000002603","ENSMUSG00000007613"
"1792","Tgfb1","Tgfbr2","TGFB1_TGFBR2","ENSMUSG00000002603","ENSMUSG00000032440"
"1793","Tgfb1","Tgfbr3","TGFB1_TGFBR3","ENSMUSG00000002603","ENSMUSG00000029287"
