"","ligand","receptor","Ligand.receptor.pair","Source","PMID.support","Ligand.HGNC.ID","Ligand.location","Receptor.HGNC.ID","HGNC.L.R","secondary.source."
"1273","IL18","IL18R1","IL18 IL18R1","Ramilowski_2015_Literature_supported","9325300,9325300,","HGNC:5986","secreted","HGNC:5988","HGNC:5986 HGNC:5988",""
"1274","IL18","IL18RAP","IL18 IL18RAP","Ramilowski_2015_Literature_supported","9792649,","HGNC:5986","secreted","HGNC:5989","HGNC:5986 HGNC:5989",""
"1275","IL18","IL1RAPL1","IL18 IL1RAPL1","Ramilowski_2015_Literature_supported","9325300,","HGNC:5986","secreted","HGNC:5996","HGNC:5986 HGNC:5996",""
"1276","IL19","IL20RA","IL19 IL20RA","Ramilowski_2015_Literature_supported","12974481,11564763,","HGNC:5990","secreted","HGNC:6003","HGNC:5990 HGNC:6003",""
"1277","IL19","IL20RB","IL19 IL20RB","Ramilowski_2015_Literature_supported","12974481,","HGNC:5990","secreted","HGNC:6004","HGNC:5990 HGNC:6004",""
"1278","IL1A","IL1R1","IL1A IL1R1","Ramilowski_2015_Literature_supported","2946959,2946959,","HGNC:5991","secreted","HGNC:5993","HGNC:5991 HGNC:5993",""
"1279","IL1A","IL1R2","IL1A IL1R2","Ramilowski_2015_Literature_supported","7878046,7878046,","HGNC:5991","secreted","HGNC:5994","HGNC:5991 HGNC:5994",""
"1280","IL1A","IL1RAP","IL1A IL1RAP","Ramilowski_2015_Literature_supported","9820540,","HGNC:5991","secreted","HGNC:5995","HGNC:5991 HGNC:5995",""
"1281","IL1B","IL1R1","IL1B IL1R1","Ramilowski_2015_Literature_supported","62193, 9820540,9062193,","HGNC:5992","secreted","HGNC:5993","HGNC:5992 HGNC:5993",""
"1282","IL1B","IL1R2","IL1B IL1R2","Ramilowski_2015_Literature_supported","8332913,7878046,","HGNC:5992","secreted","HGNC:5994","HGNC:5992 HGNC:5994",""
"1283","IL1B","IL1RAP","IL1B IL1RAP","Ramilowski_2015_Literature_supported","9820540,9820540,","HGNC:5992","secreted","HGNC:5995","HGNC:5992 HGNC:5995",""
"1284","IL1F10","IL1R1","IL1F10 IL1R1","Ramilowski_2015_Literature_supported","11278614,","HGNC:15552","secreted","HGNC:5993","HGNC:15552 HGNC:5993",""
"1285","IL1RAPL1","PTPRD","IL1RAPL1 PTPRD","Hou et al. 2020 (this publication)","23345436,","HGNC:5996","plasma membrane","HGNC:9668","HGNC:5996 HGNC:9668",""
"1286","IL1RAPL1","PTPRF","IL1RAPL1 PTPRF","Hou et al. 2020 (this publication)","23345436,","HGNC:5996","plasma membrane","HGNC:9670","HGNC:5996 HGNC:9670",""
"1287","IL1RAPL1","PTPRS","IL1RAPL1 PTPRS","Hou et al. 2020 (this publication)","23345436,","HGNC:5996","plasma membrane","HGNC:9681","HGNC:5996 HGNC:9681",""
"1288","IL1RN","IL1R1","IL1RN IL1R1","Ramilowski_2015_Literature_supported","9062194,","HGNC:6000","secreted","HGNC:5993","HGNC:6000 HGNC:5993",""
"1289","IL1RN","IL1R2","IL1RN IL1R2","Ramilowski_2015_Literature_supported","1834644,","HGNC:6000","secreted","HGNC:5994","HGNC:6000 HGNC:5994",""
"1290","IL2","CD53","IL2 CD53","Ramilowski_2015_Literature_supported","7963560,","HGNC:6001","secreted","HGNC:1686","HGNC:6001 HGNC:1686",""
"1291","IL2","IL2RA","IL2 IL2RA","Ramilowski_2015_Literature_supported","15265897,1993646,","HGNC:6001","secreted","HGNC:6008","HGNC:6001 HGNC:6008",""
"1292","IL2","IL2RB","IL2 IL2RB","Ramilowski_2015_Literature_supported","15265897,11035066, 8049354,","HGNC:6001","secreted","HGNC:6009","HGNC:6001 HGNC:6009",""
"1293","IL2","IL2RG","IL2 IL2RG","Ramilowski_2015_Literature_supported","15265897,10662798, 8049354,","HGNC:6001","secreted","HGNC:6010","HGNC:6001 HGNC:6010",""
"1294","IL20","IL20RA","IL20 IL20RA","Ramilowski_2015_Literature_supported","12974481,11163236, 12351624, 14580208,","HGNC:6002","secreted","HGNC:6003","HGNC:6002 HGNC:6003",""
"1295","IL20","IL20RB","IL20 IL20RB","Ramilowski_2015_Literature_supported","12974481,11163236, 12351624, 14580208,","HGNC:6002","secreted","HGNC:6004","HGNC:6002 HGNC:6004",""
"1296","IL20","IL22RA1","IL20 IL22RA1","Ramilowski_2015_Literature_supported","12974481,","HGNC:6002","secreted","HGNC:13700","HGNC:6002 HGNC:13700",""
"1297","IL21","IL21R","IL21 IL21R","Ramilowski_2015_Literature_supported","11418623,11418623,","HGNC:6005","secreted","HGNC:6006","HGNC:6005 HGNC:6006",""
"1298","IL21","IL2RG","IL21 IL2RG","Ramilowski_2015_Literature_supported","11418623,","HGNC:6005","secreted","HGNC:6010","HGNC:6005 HGNC:6010",""
