"","ligand","receptor"
"665","App","Sorcs1"
"666","App","Sorl1"
"667","Spon1","App"
"668","App","Tnfrsf21"
"669","App","Trpc6"
"670","App","Tspan12"
"671","App","Tspan15"
"672","App","Vldlr"
"673","Efemp2","Aqp1"
"674","Sertad1","Ar"
"675","Areg","Egfr"
"676","Areg","Egfr,Erbb2"
"677","Areg","Erbb3"
"678","Areg","Erbb4"
"679","Areg","Icam1"
"680","Areg","Igf1r"
"681","Arf1","Chrm3"
"682","Arf1","Insr"
"683","Arf4","Lrp2"
"684","Arf6","Pld1"
"685","Artn","Gfra1"
"686","Artn","Ret,Gfra1"
"687","Artn","Gfra2"
"688","Artn","Gfra3"
"689","Artn","Ret,Gfra3"
"690","Artn","Sdc3"
"691","Hp","Asgr1"
"692","Tg","Asgr1"
"693","F8","Asgr2"
"694","Hp","Asgr2"
"695","Ren1","Asic3"
"696","Ren1","Atp6ap2"
"697","Wnt3a","Atp6ap2"
"698","Avp","Avpr1a"
"699","Avp","Avpr1b"
"700","Avp","Avpr2"
"701","Avp","Gpr20"
"702","Avp","Ldlr"
"703","Avp","Lrp2"
"704","Avp","Oxtr"
"705","Avp","Pth1r"
"706","Avp","Ramp2"
"707","Avp","Ramp3"
"708","Avp","Tshr"
"709","Avp","Vipr1"
"710","Cxcl12","Avpr1a"
"711","Oxt","Avpr1a"
"712","Vip","Avpr1a"
"713","Oxt","Avpr1b"
"714","C1qtnf1","Avpr2"
"715","Oxt","Avpr2"
"716","Gas6","Axl"
"717","Il15ra","Axl"
"718","Pros1","Axl"
"719","Vegfa","Axl"
"720","Azgp1","Itgav"
"721","B2m","Cd247"
"722","B2m","Cd3d"
"723","B2m","Cd3g"
"724","B2m","Hfe"
"725","B2m","Kir3dl1"
"726","B2m","Klrd1"
"727","B2m","Tfrc"
"728","BC055324","Plscr4"
"729","Bag6","Ncr3-ps"
"730","Inhba","Bambi"
"731","Lama5","Bcam"
"732","Bcan","Egfr"
"733","Bcan","Nrcam"
"734","Kng1","Bdkrb1"
"735","Kng2","Bdkrb1"
"736","Kng1","Bdkrb2"
"737","Kng2","Bdkrb2"
"738","Bdnf","Bex3"
"739","Bdnf","Ddr1"
"740","Bdnf","Drd4"
"741","Bdnf","F11r"
"742","Bdnf","Gpr152"
"743","Bdnf","Insrr"
"744","Bdnf","Ncam1"
"745","Bdnf","Ngfr"
"746","Bdnf","Ntrk1"
"747","Bdnf","Ntrk2"
"748","Bdnf","Ntrk3"
"749","Bdnf","Sorcs2"
"750","Bdnf","Sort1"
"751","Ngf","Bex3"
"752","Ntf5","Bex3"
"753","Bgn","Cd44"
"754","Bgn","Fgfr3"
"755","Bgn","Ly96"
"756","Bgn","P2rx4"
"757","Bgn","P2rx7"
"758","Bgn","Tlr1"
"759","Bgn","Tlr2"
"760","Bgn","Tlr4"
"761","Bmp10","Bmpr1a"
"762","Bmp10","Bmpr1b"
"763","Bmp10","Eng"
"764","Bmp10","Ffar2"
"765","Bmp10","Gpr152"
"766","Bmp10","Kir3dl1"
"767","Bmp10","Tgfbr1"
"768","Bmp10","Vsir"
"769","Bmp15","Bmpr1a"
