"","ligand","receptor"
"770","BCAN","EGFR"
"771","BCAN","NRCAM"
"772","KNG1","BDKRB1"
"773","KNG1","BDKRB2"
"774","BDNF","BEX3"
"775","BDNF","DDR1"
"776","BDNF","DRD4"
"777","BDNF","F11R"
"778","BDNF","GPR152"
"779","BDNF","NCAM1"
"780","BDNF","NGFR"
"781","BDNF","NTRK2"
"782","BDNF","SORT1"
"783","NGF","BEX3"
"784","NTF4","BEX3"
"785","BGN","FGFR3"
"786","BGN","LY96"
"787","BGN","TLR1"
"788","BGN","TLR2"
"789","BGN","TLR4"
"790","BMP10","BMPR1A"
"791","BMP10","BMPR1B"
"792","BMP10","ENG"
"793","BMP10","FFAR2"
"794","BMP10","GPR152"
"795","BMP10","KIR2DL3"
"796","BMP10","KIR3DL1"
"797","BMP10","KIR3DS1"
"798","BMP10","VSIR"
"799","BMP15","BMPR1A"
"800","BMP15","BMPR1B,BMPR2"
"801","BMP1","BMPR1A"
"802","BMP1","BMPR1B"
"803","BMP1","BMPR2"
"804","BMP2","BMPR1A,BMPR2"
"805","BMP2","BMPR1B,BMPR2"
"806","BMP2","ENG"
"807","BMP2","GPC1"
"808","BMP2","HJV"
"809","BMP2","RGMB"
"810","BMP2","SMO"
"811","BMP3","BMPR1A"
"812","BMP3","BMPR1B"
"813","BMP3","BMPR2"
"814","BMP4","BMPR1A,BMPR2"
"815","BMP4","BMPR1B,BMPR2"
"816","BMP4","CFC1"
"817","BMP4","HJV"
"818","BMP4","LRP6"
"819","BMP4","RGMB"
"820","BMP5","BMPR1A,BMPR2"
"821","BMP5","BMPR1B,BMPR2"
"822","BMP5","HJV"
"823","BMP6","BMPR1A,BMPR2"
"824","BMP6","BMPR1B,BMPR2"
"825","BMP6","HJV"
"826","BMP7","BMPR1A,BMPR2"
"827","BMP7","BMPR1B,BMPR2"
"828","BMP7","ENG"
"829","BMP7","HJV"
"830","BMP7","PTPRK"
"831","BMP7","SLAMF1"
"832","BMP8A","BMPR1A,BMPR2"
"833","BMP8A","BMPR1B,BMPR2"
"834","BMP8A","TGFBR1"
"835","BMP8A","TGFBR2"
"836","BMP8B","BMPR1A,BMPR2"
"837","BMP8B","BMPR1B,BMPR2"
"838","BMP8B","PLAUR"
"839","BMPR1B,BMPR2","BMPR1A"
"840","GDF5","BMPR1A,BMPR2"
"841","GDF6","BMPR1A,BMPR2"
"842","GDF7","BMPR1A,BMPR2"
